,NITROGEN SHARE IN NPK (Percent),PHOSPHATE SHARE IN NPK (Percent),POTASH SHARE IN NPK (Percent),LENGTH OF GROWING PERIOD DAYS (Number),TOTAL AREA (1000 ha),GROSS CROPPED AREA (1000 ha),CROPING INTENSITY (Percent),ANNUAL RAINFALL (Millimeters),crop_name,crop_yield
2510,75.93,22.06,2.01,170.0,675.72,456.59,127.7,969.0500000000001,WHEAT YIELD (Kg per ha),3042.86
2511,76.47,20.52,3.01,170.0,675.72,470.09,131.34,969.0500000000001,WHEAT YIELD (Kg per ha),2779.65
2512,57.77,29.21,13.03,195.0,1519.37,789.55,124.65,857.525,WHEAT YIELD (Kg per ha),2764.8
2513,61.02,31.64,7.33,195.0,1519.37,781.01,123.9,857.525,WHEAT YIELD (Kg per ha),3832.35
2514,60.59,30.43,8.98,195.0,1519.37,797.73,126.37,739.0,WHEAT YIELD (Kg per ha),2893.41
2515,64.29,27.89,7.83,195.0,1519.37,836.13,132.31,1033.0,WHEAT YIELD (Kg per ha),2578.97
2516,59.92,30.17,9.91,195.0,1519.37,871.59,138.72,857.4,WHEAT YIELD (Kg per ha),3179.28
2517,62.3,29.21,8.49,195.0,1519.37,880.73,139.37,800.7,WHEAT YIELD (Kg per ha),3342.25
2518,61.24,29.61,9.15,195.0,1348.5,884.84,140.49,857.525,WHEAT YIELD (Kg per ha),4015.46
2519,60.43,29.07,10.5,195.0,1348.5,1000.56,157.69,857.525,WHEAT YIELD (Kg per ha),3738.31
2520,49.58,29.51,20.9,201.0,1118.36,538.06,131.9,1248.85,WHEAT YIELD (Kg per ha),1927.04
2521,51.45,32.6,15.95,201.0,1118.36,545.37,132.9,1248.85,WHEAT YIELD (Kg per ha),2495.38
2522,51.75,30.66,17.59,201.0,1118.36,560.4,136.87,1159.5,WHEAT YIELD (Kg per ha),3386.89
2523,64.53,24.1,11.37,201.0,1118.36,576.14,141.26,1456.4,WHEAT YIELD (Kg per ha),2203.47
2524,55.95,26.5,17.56,201.0,1118.36,580.96,142.7,1275.7,WHEAT YIELD (Kg per ha),3016.13
2525,55.87,28.76,15.36,201.0,1118.36,579.96,143.46,1103.8,WHEAT YIELD (Kg per ha),2387.6
2526,57.97,24.11,17.92,201.0,1118.36,588.48,144.01,1248.85,WHEAT YIELD (Kg per ha),3888.89
2527,55.39,25.05,19.56,201.0,1118.36,626.55,152.98,1248.85,WHEAT YIELD (Kg per ha),3717.0
2528,49.29,46.22,4.49,210.0,934.25,930.21,168.66,1230.0,WHEAT YIELD (Kg per ha),1626.83
2529,54.44,42.6,2.96,210.0,934.25,936.37,170.01,1230.0,WHEAT YIELD (Kg per ha),3191.98
2530,57.9,39.56,2.54,210.0,934.25,975.5,176.29,1315.0,WHEAT YIELD (Kg per ha),2350.61
2531,64.34,34.41,1.25,210.0,934.25,1008.06,181.87,1480.8,WHEAT YIELD (Kg per ha),2606.73
2532,63.44,35.27,1.28,210.0,934.25,1003.84,181.87,941.7,WHEAT YIELD (Kg per ha),3312.88
